Country	Long	Lat
Argentina	-64.7514868086873	-34.7006043119371
American Samoa	-170.450328645789	-13.289504459787
Austria	14.1273674490513	47.5959789806092
Antarctica	81.3144275589643	-84.9482975327764
Andorra	1.58534542723768	42.5473420499088
United Arab Emirates	54.3397833370989	23.9329095206199
Afghanistan	65.9473136406306	33.8155362086725
Antigua and Barbuda	-61.808577226594	17.3047608830299
Anguilla	-63.0327758979491	18.2263481657787
Albania	20.0679493087906	41.1354653669222
Armenia	44.9401801304618	40.2871607006557
Angola	17.5408621292085	-12.2797259659865
Australia	134.303270175258	-25.7607377062239
Aruba	-69.9842548511374	12.5304335096333
Azerbaijan	47.5298553988488	40.2934030235168
Bosnia and Herzegovina	17.7905879236877	44.1599296693612
Barbados	-59.5594439794379	13.1714560934267
Bangladesh	90.2879987093944	23.8198697821154
Belgium	4.67010319531303	50.6391069357012
Burkina Faso	-1.75356875806363	12.2729366129868
Bulgaria	25.2342726332295	42.7576658060832
Bahrain	50.5488701137681	26.042097449718
Burundi	29.889931937119	-3.36999497522049
Benin	2.33791365350095	9.63696722198525
Saint Barthélemy	-62.8357652785758	17.8996927676882
Bermuda	-64.7339343070133	32.3226645899477
Brunei	114.726331918405	4.51322985018198
Bolivia	-64.6738982515621	-16.6864952859801
Bonaire, Sint Eustatius and Saba	-67.0074070867794	13.6134217679019
Brazil	-53.2006211961696	-10.6150459932879
China	103.559451391084	36.6432445649579
Bahamas	-76.6853233956925	24.2962664536033
Bhutan	90.4522709057535	27.387268423875
Bouvet Island	3.36469787302346	-54.4272171120206
Botswana	23.8229748382871	-22.1684377870953
Belarus	28.0208192430986	53.5270538039724
Belize	-88.6898322531706	17.1996005101495
Colombia	-73.083629178781	3.90297381063636
Clipperton Island	-109.224070771108	10.3105214081281
Costa Rica	-84.1835040141057	9.96676930177878
Cuba	-79.0021423654948	21.6483270430485
Cape Verde	-24.0163501627721	15.9814549132185
Curaçao	-68.9744096598679	12.1930432859348
Christmas Island	105.647853335535	-10.4806115060816
Cyprus	33.2236319305692	35.0510553679312
Czechia	15.3376536528972	49.7403265354472
Cameroon	12.7409402088062	5.6910325958608
Greenland	-41.8667900421206	73.0685715166524
Gambia	-15.4640602045152	13.4495000779347
Guinea	-10.9132684884086	10.4368601933831
Equatorial Guinea	10.3135498599751	1.69600325098496
South Georgia and The South Sandwich Islands	-35.7443793147219	-54.8134759745131
Guatemala	-90.3505412942852	15.6812858318193
Guam	144.78223855186	13.444371760837
Canada	-96.4307367949523	60.4542565153765
Cocos (Keeling) Islands	96.8234781713493	-11.9845855143442
Democratic Republic of The Congo	23.6485667705838	-2.86473579200171
Central African Republic	20.4796706655196	6.5795687297139
Congo	15.2437977711132	-0.831924310019579
Switzerland	8.22336847914837	46.7992465406036
Côte D’Ivoire	-5.55160368040538	7.62478742989165
Cook Islands	-158.880138524978	-17.8447773408733
Chile	-71.1077336115112	-36.6769505001466
Spain	-3.70067159593704	40.1910973330298
Ethiopia	39.6430309450333	8.61679206329745
Finland	26.1283850765971	64.2213785139373
Fiji	178.512299037254	-17.4548776812284
Falkland Islands	-59.3592753808874	-51.7424689758562
Micronesia	154.569922916368	6.98141462544777
Faroes	-6.90289615371577	62.0581862775754
Guernsey	-2.39470041118953	49.5831650612948
Ghana	-1.20656025717749	7.95796597120367
Gibraltar	-5.34603432506069	36.1432859329111
Guinea-Bissau	-14.9250842176498	12.0403174359515
Guyana	-58.9722162578209	4.79063749990866
Hong Kong	114.132940674465	22.3817305504695
Heard Island and Mcdonald Islands	73.4958680657797	-53.0953013297771
Nigeria	8.08479508464648	9.58522674305839
Netherlands	5.57855859600777	52.2593996571041
Nepal	83.9698045698569	28.2712745897829
Nauru	166.934761900074	-0.529299193250009
Niue	-169.860951428207	-19.0534973427895
Saint Kitts and Nevis	-62.7058271584829	17.2719134032885
Serbia	20.8232582042351	44.0170379041496
France	-6.73709441118039	42.9432551922733
Croatia	16.4006381155291	45.0508620756138
Haiti	-72.6775380504597	18.9300078316313
Hungary	19.3998337686621	47.1678691524185
Iceland	-18.5760511821694	64.9786695644718
Italy	12.2048837824412	42.7105131171326
Jersey	-2.12375264919442	49.2141370029058
Jamaica	-77.3101066769208	18.1567773628934
Jordan	36.774996880699	31.2446705662839
Kenya	37.863154990933	0.527737056350682
Kyrgyzstan	74.5192210572335	41.4733940635649
Germany	10.3680036425566	51.0542786559357
Djibouti	42.5756508225702	11.7386126818547
Denmark	10.0718104721638	55.9541537896579
Dominica	-61.3519918609388	15.4213934838126
Dominican Republic	-70.5022862121784	18.8892001078667
Algeria	2.6892203244951	28.0498954445358
Ecuador	-78.7508030640092	-1.43159196066965
Estonia	25.5493413794885	58.6690851716397
Egypt	29.7857786312541	26.5479876833959
Western Sahara	-13.1807870655554	24.6556592739734
Eritrea	38.8500755906588	15.3710387191673
Gabon	11.7823582115743	-0.620163159236388
Grenada	-61.6811613282702	12.1197354079218
Georgia	43.5172574570049	42.1849811153075
Honduras	-86.6146794934447	14.8198887904427
Greece	22.9882380632503	39.0227362081573
Peru	-74.3992990732192	-9.12439773796904
South Korea	127.800457165627	36.3571772925805
Kuwait	47.6194887423557	29.3552636321752
Cayman Islands	-81.291892054709	19.3395546298696
Kazakhstan	67.2394740893071	48.36907252319
Laos	103.807460039594	18.4851418548895
Lebanon	35.8862782251506	33.9159735434015
Saint Lucia	-60.9691445837222	13.8941265964021
Liechtenstein	9.5503459742937	47.1362781294292
Sri Lanka	80.6939214299146	7.63550670794273
Norway	12.2531181085215	63.9967399185037
